category,risk_score,damage_rate,inventory_health_score
Baby Care,11.098342387519152,0.11098342387519153,54.99024933834796
Cold Drinks & Juices,10.55376069829394,0.1055376069829394,48.160743637703334
Dairy & Breakfast,10.164661177960735,0.10164661177960735,47.92273590880304
Fruits & Vegetables,10.336849898204699,0.103368498982047,47.92245049046826
Grocery & Staples,13.332407150134296,0.13332407150134296,54.102991571732886
Household Care,13.380281690140846,0.13380281690140844,45.33278099972383
Instant & Frozen Food,10.216873511345117,0.10216873511345118,48.95950858718816
Personal Care,10.262161084529504,0.10262161084529504,48.43999202551834
Pet Care,11.612316541894005,0.11612316541894006,58.34073510129848
Pharmacy,10.844324924232723,0.10844324924232722,58.29384897767533
Snacks & Munchies,10.288858321870702,0.10288858321870702,48.45942228335626
